uen,uid,products,total_price,status
201936456R,MDsubkeZsQS0kBpxte0Ncid1wg03,"{0: {'swp_id': 'eGPmHCWVyTDVDnPw2odV', 'quantity': 1}, 1: {'swp_id': 'QPK7bPd4gCqzdp12Zq0C', 'quantity': 1}}",95.28,IN-CART
201936456R,WXq117QcigPDfUs1jlxGheXj1Qt1,"{0: {'swp_id': 'v6QRDJKpQDpZNZ8sPbPM', 'quantity': 3}, 1: {'swp_id': 'A1NlUZ726lTFmdDeAuMy', 'quantity': 1}}",58.38,IN-CART
53474231M,WXq117QcigPDfUs1jlxGheXj1Qt1,"{0: {'swp_id': 'MxzK2MS2XM5uiMquycRp', 'quantity': 4}}",187.52,IN-CART
201936456R,hnByvuE2t0fviOCA0q7T8nsqZVp1,"{0: {'swp_id': 'QPK7bPd4gCqzdp12Zq0C', 'quantity': 2}, 1: {'swp_id': 'eGPmHCWVyTDVDnPw2odV', 'quantity': 1}, 2: {'swp_id': 'A1NlUZ726lTFmdDeAuMy', 'quantity': 2}}",202.72,IN-CART
199203796C,hnByvuE2t0fviOCA0q7T8nsqZVp1,"{0: {'swp_id': 'jQqgdqQoOyLOO2TZZmlt', 'quantity': 5}, 1: {'swp_id': 'w9B6VquHFqCvnFYmWD7b', 'quantity': 2}}",242.70,IN-CART
53474231M,hnByvuE2t0fviOCA0q7T8nsqZVp1,"{0: {'swp_id': 'gKmFdV5X4amQihN5SfdZ', 'quantity': 1}}",44.08,IN-CART
200915506H,8i9PDIBnKaa2SJBqzkVlIKyruCp1,"{0: {'swp_id': 'lL0tg9bhH4mDE8ybhKkb', 'price': np.float64(33.01), 'quantity': 3}}",99.03,PENDING-ACCEPTANCE
53474231M,8i9PDIBnKaa2SJBqzkVlIKyruCp1,"{0: {'swp_id': 'VR0YnV2Rj6IrlCyhgFzz', 'price': np.float64(3.89), 'quantity': 3}}",11.67,PENDING-ACCEPTANCE
201936456R,MDsubkeZsQS0kBpxte0Ncid1wg03,"{0: {'swp_id': 't5PkN6NSNwfPtirogrp8', 'price': np.float64(10.0), 'quantity': 5}, 1: {'swp_id': 'kJEgRHjYISjf60JMrzJt', 'price': np.float64(15.58), 'quantity': 3}, 2: {'swp_id': 'eGPmHCWVyTDVDnPw2odV', 'price': np.float64(45.8), 'quantity': 1}}",142.54,PENDING-ACCEPTANCE
200915506H,MDsubkeZsQS0kBpxte0Ncid1wg03,"{0: {'swp_id': 'sO3sC14D4gtifvYuV44F', 'price': np.float64(1.13), 'quantity': 4}}",4.52,PENDING-ACCEPTANCE
